ticker,cik,year,filing_date,accession,index_url,name,sector
AAPL,0000320193,2024,2024-11-01,0000320193-24-000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,Apple Inc.,Technology
AAPL,0000320193,2023,2023-11-03,0000320193-23-000106,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,Apple Inc.,Technology
AAPL,0000320193,2022,2022-10-28,0000320193-22-000108,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,Apple Inc.,Technology
AAPL,0000320193,2021,2021-10-29,0000320193-21-000105,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,Apple Inc.,Technology
AAPL,0000320193,2020,2020-10-30,0000320193-20-000096,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,Apple Inc.,Technology
AAPL,0000320193,2019,2019-10-31,0000320193-19-000119,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,Apple Inc.,Technology
AAPL,0000320193,2018,2018-11-05,0000320193-18-000145,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,Apple Inc.,Technology
AAPL,0000320193,2017,2017-11-03,0000320193-17-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm,Apple Inc.,Technology
AAPL,0000320193,2016,2016-10-26,0001628280-16-020309,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm,Apple Inc.,Technology
AAPL,0000320193,2015,2015-10-28,0001193125-15-356351,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm,Apple Inc.,Technology
MSFT,0000789019,2024,2024-07-30,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,Microsoft Corp.,Technology
MSFT,0000789019,2023,2023-07-27,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,Microsoft Corp.,Technology
MSFT,0000789019,2022,2022-07-28,0001564590-22-026876,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,Microsoft Corp.,Technology
MSFT,0000789019,2021,2021-07-29,0001564590-21-039151,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,Microsoft Corp.,Technology
MSFT,0000789019,2020,2020-07-30,0001564590-20-034944,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,Microsoft Corp.,Technology
GOOGL,0001652044,2024,2024-01-31,0001652044-24-000022,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,Alphabet Inc.,Technology
GOOGL,0001652044,2023,2023-02-03,0001652044-23-000016,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,Alphabet Inc.,Technology
AMZN,0001018724,2024,2024-02-02,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm,Amazon.com Inc.,Technology
AMZN,0001018724,2023,2023-02-03,0001018724-23-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,Amazon.com Inc.,Technology
AMZN,0001018724,2022,2022-02-04,0001018724-22-000005,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,Amazon.com Inc.,Technology
AMZN,0001018724,2021,2021-02-03,0001018724-21-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,Amazon.com Inc.,Technology
AMZN,0001018724,2020,2020-01-31,0001018724-20-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm,Amazon.com Inc.,Technology
NVDA,0001045810,2024,2024-02-21,0001045810-24-000029,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,NVIDIA Corp.,Technology
NVDA,0001045810,2023,2023-02-24,0001045810-23-000017,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,NVIDIA Corp.,Technology
